From_Currency_Code,From_Currency_Name,To_Currency_Code,To_Currency_Name,Exchange_Rate,Last_Refreshed,Time_Zone,Bid_Price,Ask_Price
BTC,Bitcoin,EUR,Euro,18530.63844000,2020-12-21 18:00:03,UTC,18522.90145000,18540.71205000
BTC,Bitcoin,EUR,Euro,18561.28845000,2020-12-21 18:15:04,UTC,18561.28845000,18561.29662500
BTC,Bitcoin,EUR,Euro,18598.12539900,2020-12-21 18:30:04,UTC,18597.91300500,18597.92117400
BTC,Bitcoin,EUR,Euro,18607.35614400,2020-12-21 18:45:02,UTC,18608.79300800,18608.80117200
BTC,Bitcoin,EUR,Euro,18636.54718000,2020-12-21 19:00:04,UTC,18636.53901500,18636.54718000
BTC,Bitcoin,EUR,Euro,18641.33987800,2020-12-21 19:45:04,UTC,18641.33171700,18641.33987800
BTC,Bitcoin,EUR,Euro,18551.91584400,2020-12-21 19:50:01,UTC,18551.90768200,18551.91584400
BTC,Bitcoin,EUR,Euro,18607.95848700,2020-12-21 19:55:06,UTC,18607.95848700,18607.96665000
BTC,Bitcoin,EUR,Euro,18594.43170200,2020-12-21 19:56:09,UTC,18594.43170200,18594.43986400
BTC,Bitcoin,EUR,Euro,18629.84102900,2020-12-21 20:00:03,UTC,18629.83286800,18629.84102900
BTC,Bitcoin,EUR,Euro,18589.93373900,2020-12-21 20:05:04,UTC,18589.92557800,18589.93373900
BTC,Bitcoin,EUR,Euro,18616.67315200,2020-12-21 20:10:01,UTC,18615.26928800,18616.67315200
BTC,Bitcoin,EUR,Euro,18689.14309600,2020-12-21 20:15:04,UTC,18691.32288400,18691.33104800
BTC,Bitcoin,EUR,Euro,18683.95317000,2020-12-21 20:20:06,UTC,18683.95317000,18683.96133500
BTC,Bitcoin,EUR,Euro,18692.92125600,2020-12-21 20:25:03,UTC,18692.91309000,18692.92125600
BTC,Bitcoin,EUR,Euro,18685.67801400,2020-12-21 20:30:01,UTC,18685.66984800,18685.67801400
BTC,Bitcoin,EUR,Euro,18656.77384000,2020-12-21 20:35:04,UTC,18656.77384000,18656.78200800
